time,date,lat,lon,alt,altUnit,sep,sepUnit,identity,navStatus,posMode,spd,status,talker,numSV
10:16:27,2024-06-12,52.2496815,6.8511418333,,,,,GNRMC,V,A,0.007,A,GN,
10:16:27,,52.2496815,6.8511418333,22.0,M,46.0,M,GNGGA,,,,,GN,12
10:16:27,,52.2496815,6.8511418333,,,,,GNGLL,,A,,A,GN,
10:16:28,2024-06-12,52.2496815,6.8511416667,,,,,GNRMC,V,A,0.045,A,GN,
10:16:28,,52.2496815,6.8511416667,22.0,M,46.0,M,GNGGA,,,,,GN,12
10:16:28,,52.2496815,6.8511416667,,,,,GNGLL,,A,,A,GN,
10:16:29,2024-06-12,52.2496815,6.8511413333,,,,,GNRMC,V,A,0.057,A,GN,
10:16:29,,52.2496815,6.8511413333,22.1,M,46.0,M,GNGGA,,,,,GN,12
10:16:29,,52.2496815,6.8511413333,,,,,GNGLL,,A,,A,GN,
10:16:30,2024-06-12,52.2496816667,6.8511408333,,,,,GNRMC,V,A,0.005,A,GN,
10:16:30,,52.2496816667,6.8511408333,22.1,M,46.0,M,GNGGA,,,,,GN,12
10:16:30,,52.2496816667,6.8511408333,,,,,GNGLL,,A,,A,GN,
10:16:31,2024-06-12,52.2496818333,6.8511403333,,,,,GNRMC,V,A,0.034,A,GN,
10:16:31,,52.2496818333,6.8511403333,22.1,M,46.0,M,GNGGA,,,,,GN,12
10:16:31,,52.2496818333,6.8511403333,,,,,GNGLL,,A,,A,GN,
10:16:32,2024-06-12,52.2496818333,6.8511398333,,,,,GNRMC,V,A,0.031,A,GN,
10:16:32,,52.2496818333,6.8511398333,22.2,M,46.0,M,GNGGA,,,,,GN,12
10:16:32,,52.2496818333,6.8511398333,,,,,GNGLL,,A,,A,GN,
10:16:33,2024-06-12,52.2496821667,6.8511396667,,,,,GNRMC,V,A,0.029,A,GN,
10:16:33,,52.2496821667,6.8511396667,22.2,M,46.0,M,GNGGA,,,,,GN,12
10:16:33,,52.2496821667,6.8511396667,,,,,GNGLL,,A,,A,GN,
10:16:34,2024-06-12,52.2496821667,6.8511393333,,,,,GNRMC,V,A,0.012,A,GN,
10:16:34,,52.2496821667,6.8511393333,22.2,M,46.0,M,GNGGA,,,,,GN,12
